Player & Team,Player,Team,Pos,TOI,PDO,ZSR,G/60,d ixGF,iCF/60,iSh%,A1/60,sA1,GA/60,d xGA,CA/60,PP Sample Size,Poss Entry Rate,Poss Entry %,Poss Exits Rate,Poss Exit %,Entries Denied Rate,Denial %,Avg
SIDNEY.CROSBY.PIT,SIDNEY CROSBY (PIT),PIT,F,9,2,7,3,3,5,3,5,10,4,4,5,8,4,8,3,7,,,6
TEUVO.TERAVAINEN.CAR,TEUVO TERAVAINEN (CAR),CAR,F,6,5,7,7,7,5,6,7,6,4,4,9,4,6,5,6,6,,,6
TOREY.KRUG.BOS,TOREY KRUG (BOS),BOS,D,5,7,10,7,6,8,6,5,7,7,6,6,4,3,10,3,4,4,7,6
TYSON.BARRIE.COL,TYSON BARRIE (COL),COL,D,6,7,8,5,5,8,5,10,7,3,3,5,5,5,8,5,6,3,5,6
WILLIAM.NYLANDER.TOR,WILLIAM NYLANDER (TOR),TOR,F,6,10,5,3,3,6,3,9,8,7,9,3,7,7,6,7,6,,,6
ADAM.LOWRY.WPG,ADAM LOWRY (WPG),WPG,F,5,3,3,7,7,4,7,4,6,6,3,10,4,4,6,4,6,,,5.5
ADRIAN.KEMPE.LAK,ADRIAN KEMPE (LAK),LAK,F,4,9,9,9,9,4,9,4,3,7,9,3,5,4,6,4,6,,,5.5
ALEKSANDER.BARKOV.FLA,ALEKSANDER BARKOV (FLA),FLA,F,10,4,3,4,4,4,3,6,7,4,3,6,5,5,7,4,7,,,5.5
ALEX.RADULOV.DAL,ALEX RADULOV (DAL),DAL,F,8,6,6,6,6,4,6,8,4,4,4,6,6,5,5,4,4,,,5.5
ALEX.TUCH.VGK,ALEX TUCH (VGK),VGK,F,5,6,6,5,4,6,4,6,6,8,6,6,5,5,5,5,4,,,5.5
ANDREAS.ATHANASIOU.DET,ANDREAS ATHANASIOU (DET),DET,F,6,5,5,7,6,8,5,6,3,2,3,4,5,6,9,5,6,,,5.5
ANDREW.COGLIANO.ANA,ANDREW COGLIANO (ANA),ANA,F,5,7,5,3,3,7,3,6,5,8,8,4,6,5,7,6,7,,,5.5
BLAKE.WHEELER.WPG,BLAKE WHEELER (WPG),WPG,F,8,6,7,5,6,6,4,7,5,4,5,3,7,6,4,6,5,,,5.5
BO.HORVAT.VAN,BO HORVAT (VAN),VAN,F,7,9,5,6,6,5,7,8,9,6,5,4,2,3,7,4,6,,,5.5
BRAD.HUNT.VGK,BRAD HUNT (VGK),VGK,D,3,3,7,2,1,6,2,6,3,5,3,8,2,7,3,6,7,10,7,5.5
BRADY.SKJEI.NYR,BRADY SKJEI (NYR),NYR,D,5,4,8,4,3,5,4,4,6,4,6,3,10,7,6,5,6,7,4,5.5
